"","Longitude","Latitude"
"217",199.4497974,-51.67380504
"218",199.4502972,-51.67305893
"219",199.4511756,-51.67272928
"220",199.4521885,-51.67307817
"228",199.6363018,-52.32158705
"229",199.6336173,-52.32112659
"230",199.6339189,-52.32126008
"231",199.634539,-52.32124489
"232",199.6349798,-52.32129511
"233",199.6355972,-52.32093017
"234",199.6356367,-52.32080907
"235",199.6357277,-52.32087209
"236",199.6364092,-52.32073585
"237",199.6369512,-52.32052985
"238",199.63762,-52.32056449
"239",199.6379217,-52.32019607
"240",199.6389244,-52.32002609
"241",199.6396323,-52.32009492
"242",199.6735791,-52.25519894
"243",199.6729784,-52.25570029
"244",199.6731062,-52.25637088
"245",199.6720595,-52.25658699
"246",199.3944018,-52.24331423
"247",199.3944309,-52.24288851
"248",199.3945489,-52.24229922
"249",199.3942509,-52.24243036
"250",199.394361,-52.2423117
"251",199.3945393,-52.24240013
"252",199.4003224,-52.24615556
"253",199.358556,-52.26763755
"254",199.3581085,-52.26695488
"255",199.3575348,-52.26644028
"256",199.3574362,-52.26639521
"276",199.5965998,-52.11453544
"277",199.6024845,-52.11571794
"278",199.6012762,-52.09622211
"279",199.5993124,-52.09670802
"280",199.5983595,-52.09662451
"281",199.5982186,-52.09611631
"282",199.6023515,-52.09535631
"283",199.6393423,-52.10849202
"284",199.6383125,-52.10561251
"285",199.6387144,-52.1043396
"286",199.6306699,-52.09835763
"287",199.6184561,-52.09398144
"288",199.4367169,-52.66119885
"289",199.437095,-52.66153019
"290",199.43635,-52.66063248
"291",199.4361911,-52.65951116
"292",199.4361881,-52.65943452
"293",199.4358655,-52.65944774
"294",199.4441919,-52.6287942
"295",199.4430307,-52.62819355
"296",199.4405607,-52.62751739
"297",199.437563,-52.6268939
"309",199.6285636,-52.33273643
"310",199.6284876,-52.33274177
"311",199.6282333,-52.3329499
"312",199.6282481,-52.33318444
"313",199.6281853,-52.33337986
"314",199.6274924,-52.3339604
"315",199.6273315,-52.33459888
"316",199.6266798,-52.33504874
"317",199.6164451,-52.30942685
"318",199.615933,-52.30995093
"319",199.6161398,-52.31104889
"320",199.6154847,-52.31157052
"321",199.6151519,-52.31246981
"322",199.6153029,-52.3124509
"323",199.6041873,-52.28225893
"324",199.6045182,-52.28336794
"325",199.6044592,-52.28397332
"326",199.6038821,-52.28467638
"327",199.6040722,-52.28153518
"328",199.6088929,-52.25500512
"329",199.610187,-52.25076567
"330",199.6102761,-52.24977078
"331",199.6109152,-52.24762992
"332",199.5994212,-52.18064932
"333",199.5982305,-52.17884804
"334",199.5969765,-52.17685363
"335",199.5968551,-52.17702351
"336",199.5969206,-52.1769168
"337",199.5224266,-52.10334632
"338",199.5223457,-52.10344054
"339",199.5221674,-52.1037564
"340",199.5228865,-52.10503498
"341",199.522189,-52.10532833
"342",199.5571687,-52.04694955
"343",199.5569431,-52.04681858
"344",199.5585503,-52.04729243
"345",199.5588324,-52.04748997
"346",199.5587317,-52.04740437
"347",199.4171784,-52.17465698
"348",199.6403896,-52.04812317
"349",199.642186,-52.04900437
"350",199.6423283,-52.04889595
"351",199.6396396,-52.046976
"352",199.508827,-52.08376016
"353",199.5505027,-52.25932707
"354",199.5893459,-52.29973128
"355",199.5676256,-52.28316327
"356",199.5420995,-52.24669703
"357",199.5165412,-52.23076325
"358",199.4956086,-52.23920716
"359",199.5309339,-52.21738881
"360",199.5449729,-52.22268009
"361",199.5626292,-52.16688239
"362",199.5188553,-52.09966715
"363",199.4851664,-52.08249051
"364",199.6044995,-52.08261005
"365",199.6451999,-52.09169006
"366",199.7079406,-52.19780279
"367",199.6423871,-52.11051792
"368",199.638883,-52.10506531
"369",199.6373385,-52.10195721
"370",199.6334976,-52.09909432
"371",199.6214937,-52.09521434
"372",199.6185511,-52.09388683
"373",199.6184984,-52.09399693
"374",199.6187328,-52.09392151
